battery_power,bluetooth,clock_speed,dual_sim,fc_megapixel,four_g,int_memory,m_depth,mobile_wt,n_cores,pc_megapixel,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1557,1,1.7,1,1.0,0,32,0.3,152.0,7,11,1407,1633,3048.0,17,11,7,1,0,0,1
1201,1,2.2,1,10.0,0,49,0.8,175.0,4,20,722,992,874.0,18,13,9,1,0,0,3
1074,1,1.2,0,0.0,0,45,0.8,193.0,3,6,1219,1904,874.0,11,7,2,1,0,0,0
1175,1,2.1,0,3.0,0,33,0.9,124.0,6,8,119,1777,1617.0,5,3,7,0,0,1,1
1715,0,0.6,1,1.0,1,28,0.4,970.0,6,16,162,847,1786.0,19,2,12,1,0,1,3
1165,0,0.9,0,4.0,0,40,0.9,150.0,2,11,313,528,3128.0,13,0,14,1,0,0,2
567,0,2.6,0,0.0,0,2,0.2,950.0,4,1,181,566,2243.0,16,6,10,0,1,1,2
1952,1,1.4,0,2.0,0,47,0.8,190.0,2,10,1416,1892,994.0,9,5,17,0,1,1,2
822,1,1.4,1,2.0,0,43,0.3,189.0,8,7,645,851,2749.0,13,4,16,1,0,1,3
685,1,0.5,1,0.0,0,12,0.5,121.0,6,15,79,633,793.0,5,4,11,0,0,1,1
1388,1,0.6,1,12.0,1,17,0.6,174.0,5,19,153,972,324.0,14,0,3,1,0,0,1
1972,0,2.1,0,2.0,0,48,0.6,188.0,3,14,480,748,366.0,5,3,17,1,1,0,0
1411,1,1.7,0,9.0,1,57,0.5,80.0,7,17,700,1234,1228.0,17,3,7,1,1,0,1
1094,0,2.3,1,2.0,0,20,0.9,139.0,1,5,221,610,1413.0,7,0,16,0,1,1,3
1653,0,0.7,1,1.0,1,13,0.5,114.0,4,15,1585,1896,2617.0,16,4,18,1,1,1,1
916,0,2.0,1,9.0,0,33,0.7,142.0,7,20,65,1867,1798.0,11,5,5,1,1,0,0
1712,0,0.8,0,1.0,0,29,0.3,149.0,7,6,556,816,2693.0,7,1,5,1,1,0,3
882,1,0.9,1,13.0,0,32,0.8,103.0,8,14,224,764,2437.0,17,14,15,0,1,1,2
632,0,1.2,0,6.0,1,33,0.5,101.0,2,10,705,992,837.0,16,4,3,1,0,0,2
1442,1,0.5,1,0.0,0,56,0.4,165.0,3,3,709,1695,2815.0,6,0,8,0,1,1,3
900,0,1.9,0,11.0,0,47,0.2,150.0,8,14,97,663,1440.0,14,2,4,1,1,1,1
1596,1,1.4,1,6.0,0,24,0.3,174.0,5,15,359,1022,1251.0,18,15,2,1,1,1,2
1272,1,0.5,0,9.0,1,54,0.6,133.0,8,11,1813,1871,3181.0,10,6,14,1,0,1,0
1640,0,2.5,1,1.0,0,7,0.2,135.0,4,2,839,1788,1361.0,9,1,7,0,1,1,3
1111,0,1.4,1,10.0,0,15,0.5,198.0,7,14,550,666,1630.0,13,5,2,1,0,1,1
1889,1,2.9,0,15.0,0,25,0.3,90.0,2,17,443,755,3689.0,9,6,2,1,0,1,2
1907,1,1.1,1,1.0,0,22,0.1,80.0,8,4,502,1113,3586.0,11,2,6,1,0,1,1
529,0,2.5,1,5.0,0,56,0.3,139.0,4,6,130,647,3942.0,10,0,7,0,0,1,0
578,0,0.5,0,3.0,1,38,0.7,121.0,6,5,19,667,1431.0,5,0,7,1,0,0,0
1634,1,2.3,1,2.0,1,39,0.4,164.0,1,7,386,636,2167.0,12,0,20,1,1,1,2
1533,1,1.2,1,1.0,1,22,0.6,172.0,3,15,22,1345,1248.0,9,2,9,1,0,0,2
660,0,0.6,0,5.0,1,47,0.1,83.0,3,6,49,1552,1986.0,8,0,15,1,1,0,3
1847,1,1.6,0,10.0,1,28,0.2,111.0,4,14,1497,1508,1378.0,5,2,18,1,0,1,3
1206,1,0.5,1,6.0,0,10,0.8,134.0,8,20,1327,1361,2959.0,5,1,20,0,0,1,3
549,1,0.5,0,3.0,1,53,0.8,139.0,5,5,555,1386,1893.0,5,2,19,1,1,1,0
1705,1,2.8,0,2.0,1,23,1.0,122.0,3,20,1560,1808,1676.0,8,6,20,1,1,1,3
1366,0,0.5,1,4.0,0,36,0.1,185.0,1,16,346,702,7200.0,17,13,19,0,0,1,3
1991,0,0.5,0,5.0,0,58,0.6,109.0,5,6,912,1660,1947.0,10,5,7,1,0,1,2
1452,0,1.1,0,3.0,1,32,0.5,175.0,3,5,699,1704,3617.0,16,1,12,1,1,0,3
1810,1,1.1,1,6.0,0,63,0.9,151.0,1,19,582,1752,3414.0,18,10,10,1,0,0,0
1166,1,2.2,1,2.0,1,41,1.0,165.0,7,4,680,1078,482.0,19,11,11,1,1,1,1
881,1,0.8,1,5.0,0,6,0.4,117.0,6,12,814,1015,2813.0,18,1,17,1,0,1,0
1134,1,0.5,1,0.0,1,64,0.5,166.0,5,0,672,1597,661.0,13,7,20,1,0,0,0
1031,1,2.0,1,1.0,1,20,0.7,177.0,1,4,450,911,2546.0,9,6,12,1,0,1,3
1376,1,2.4,1,0.0,1,34,0.4,167.0,6,1,757,1371,3922.0,5,0,2,1,0,0,1
1391,0,1.4,1,2.0,1,56,0.1,137.0,5,8,208,900,1199.0,15,8,10,1,1,1,3
979,0,2.1,0,6.0,0,24,0.6,124.0,5,16,1194,1256,3779.0,7,2,20,0,1,0,2
1075,1,1.9,0,0.0,0,36,0.6,127.0,4,3,1335,1427,3870.0,8,3,20,1,1,0,3
968,0,0.5,1,13.0,1,61,0.1,168.0,8,16,91,1585,858.0,8,7,11,1,1,0,1
1999,0,0.5,1,1.0,1,15,0.7,183.0,8,11,33,653,3840.0,19,17,12,1,0,1,1
1626,0,2.7,0,3.0,0,20,0.1,164.0,2,17,1095,1499,454.0,8,4,6,1,1,0,1
942,0,1.7,1,14.0,0,28,0.8,153.0,8,20,336,797,3953.0,13,11,7,0,0,1,0
1982,1,0.8,1,9.0,0,48,0.4,98.0,6,16,183,709,3035.0,10,4,9,1,0,1,2
1373,0,1.4,1,3.0,0,27,0.6,139.0,8,6,652,1100,966.0,14,0,9,0,0,1,2
1151,0,1.7,1,8.0,0,44,0.5,107.0,8,17,410,1014,1761.0,7,4,10,1,0,0,3
1650,1,2.1,1,6.0,0,51,0.9,99.0,5,15,440,1416,1938.0,14,0,3,0,1,1,2
1663,1,0.6,1,0.0,0,17,0.7,152.0,4,2,532,886,2820.0,14,1,5,1,1,1,0
1965,1,0.5,0,0.0,1,3,0.9,168.0,7,17,1373,1949,305.0,6,0,20,1,0,0,0
1465,0,2.5,0,2.0,0,3,1.0,90.0,5,8,965,974,2042.0,8,2,12,0,1,1,3
1809,1,2.2,1,3.0,0,27,0.3,137.0,5,19,568,1864,700.0,11,10,12,1,0,0,0
757,1,2.4,1,8.0,1,26,0.2,164.0,8,17,652,1157,2593.0,19,3,15,1,0,1,2
1034,1,0.7,0,7.0,1,47,0.2,105.0,6,15,214,1463,1835.0,8,1,9,1,0,0,0
1119,1,2.5,0,9.0,0,23,0.8,81.0,4,19,423,1003,3121.0,15,4,5,0,1,0,1
559,1,0.5,1,0.0,1,24,0.8,103.0,4,5,537,627,2023.0,14,1,2,1,0,0,3
1204,1,1.8,0,9.0,0,19,0.8,113.0,8,15,667,1872,737.0,10,5,18,0,0,0,1
1008,0,2.3,1,4.0,1,15,0.4,89.0,8,19,491,692,450.0,11,7,18,1,0,0,1
1397,1,2.7,1,4.0,0,19,0.5,146.0,7,13,1037,1829,2928.0,12,2,4,0,0,0,0
697,0,0.6,1,0.0,1,34,0.1,114.0,4,6,325,610,1694.0,14,8,8,1,0,1,0
1939,1,1.3,0,5.0,0,58,0.3,174.0,2,17,49,974,2593.0,11,6,6,0,0,1,1
1039,0,1.9,1,2.0,0,15,0.7,113.0,1,5,1324,1945,745.0,9,2,10,0,0,0,3
1605,1,1.3,0,1.0,1,51,0.8,83.0,4,20,597,921,1310.0,11,9,10,1,1,1,3
1094,0,1.6,1,2.0,0,34,0.6,128.0,8,4,765,836,2743.0,9,3,20,0,0,1,3
769,1,0.5,1,1.0,1,30,0.8,190.0,3,9,470,1115,3976.0,12,10,11,1,0,1,3
861,1,0.6,1,0.0,0,40,0.1,132.0,2,13,653,1062,3931.0,18,14,2,0,0,0,1
504,0,0.9,1,4.0,0,63,1.0,169.0,2,16,463,1609,3455.0,17,15,15,0,0,1,1
1930,1,1.6,1,5.0,1,64,0.3,139.0,4,17,325,1205,1533.0,5,1,6,1,0,1,0
1795,1,0.6,1,10.0,0,52,0.3,140.0,2,16,855,910,3876.0,18,17,2,1,0,0,2
1363,0,1.6,1,3.0,1,2,0.9,159.0,7,6,912,1684,3239.0,11,5,11,1,0,0,3
1981,1,0.5,0,2.0,0,19,0.4,123.0,7,3,605,769,3663.0,15,0,2,1,0,0,2
1901,0,2.7,0,4.0,0,62,0.7,133.0,3,17,401,1989,1786.0,16,10,5,0,1,1,1
1319,0,1.3,1,10.0,0,5,0.1,140.0,8,17,366,1821,3502.0,14,6,3,1,0,0,0
859,1,2.7,0,5.0,0,58,0.4,178.0,1,16,1225,1358,815.0,10,4,2,1,0,1,1
1664,1,2.1,0,10.0,0,25,0.1,147.0,3,11,573,856,275.0,9,3,11,1,1,1,2
955,0,0.5,1,0.0,0,62,0.4,151.0,1,1,261,538,3758.0,15,3,18,1,1,1,3
1348,0,0.8,0,6.0,1,50,0.1,123.0,4,11,565,1443,2086.0,12,8,20,1,0,0,2
1455,0,1.4,0,0.0,0,16,0.4,164.0,1,1,1379,1673,444.0,14,2,7,0,1,0,3
1611,0,1.7,1,5.0,0,25,0.6,92.0,5,18,949,1297,3467.0,9,1,8,1,1,1,2
1573,1,3.0,1,3.0,1,24,1.0,125.0,8,5,703,911,2776.0,5,3,17,1,1,1,1
557,0,0.5,0,0.0,1,23,0.5,197.0,5,1,1264,1682,3170.0,12,2,7,1,1,0,3
1599,1,0.5,0,4.0,0,31,0.1,130.0,2,5,1816,1917,1234.0,11,10,9,0,1,0,0
1051,1,0.9,1,0.0,0,16,0.1,100.0,7,9,108,894,305.0,12,0,3,1,1,1,3
1857,1,1.4,1,0.0,0,14,0.9,102.0,2,0,1328,1743,1745.0,15,10,20,0,0,0,1
1986,0,0.5,0,6.0,0,24,0.9,174.0,6,9,797,1061,1707.0,5,3,12,1,0,1,2
591,1,0.7,0,1.0,0,21,0.1,185.0,6,7,361,555,2220.0,11,10,13,1,1,0,1
1140,0,1.6,1,0.0,1,56,0.3,131.0,7,4,1049,1715,3130.0,6,5,9,1,0,1,2
923,1,0.6,0,0.0,1,10,0.8,80.0,2,3,357,1718,1500.0,18,9,9,1,1,0,2
1582,0,0.5,0,0.0,0,33,0.4,200.0,1,9,197,764,2145.0,9,7,18,1,1,1,1
723,0,0.5,0,5.0,0,63,0.5,172.0,8,14,906,1801,488.0,5,0,8,1,0,1,3
1251,1,3.0,1,3.0,1,54,0.8,139.0,5,4,806,1405,3863.0,6,1,14,1,1,0,0
574,1,1.0,1,4.0,1,60,0.1,139.0,2,7,924,1498,2913.0,14,0,9,1,0,0,0
948,1,0.5,1,5.0,1,60,0.2,116.0,2,10,223,1148,2094.0,12,7,15,1,1,1,2
1571,0,2.8,1,4.0,0,44,0.4,194.0,5,5,140,718,3141.0,8,1,17,0,0,1,0
564,1,0.5,0,2.0,0,33,0.6,192.0,1,6,113,863,2573.0,13,6,2,0,1,1,3
1466,0,2.4,1,14.0,1,57,0.9,155.0,6,18,1531,1727,2340.0,18,15,4,1,1,0,2
597,1,3.0,1,0.0,0,16,0.5,140.0,2,0,35,708,3788.0,12,0,5,0,0,1,0
895,1,2.5,1,10.0,1,9,0.5,148.0,7,14,1524,1691,3445.0,11,5,15,1,0,0,3
1535,0,2.5,1,13.0,1,37,1.0,82.0,4,16,838,1667,3241.0,6,0,15,1,0,1,1
1045,1,1.6,0,0.0,1,58,0.2,177.0,4,12,1212,1772,2241.0,19,15,11,1,1,0,2
1483,1,0.8,0,4.0,1,61,0.6,128.0,1,10,655,814,3843.0,11,8,20,1,0,1,2
976,0,2.0,0,0.0,1,5,0.9,184.0,7,14,496,797,3261.0,8,2,6,1,1,1,1
1840,1,1.1,1,0.0,0,46,0.1,123.0,4,2,800,1521,3264.0,8,4,16,0,1,0,3
1807,0,0.6,1,0.0,0,8,0.1,89.0,8,15,1010,1425,826.0,11,1,20,0,0,0,1
624,1,1.6,1,14.0,0,30,0.1,192.0,2,16,102,1052,1314.0,16,1,10,0,1,1,2
1963,0,0.5,0,7.0,1,38,0.4,193.0,3,15,948,1406,2699.0,7,0,10,1,1,0,0
1307,1,0.5,0,0.0,1,4,0.3,132.0,4,1,82,1236,2565.0,8,4,19,1,1,1,1
1933,1,0.5,1,6.0,0,23,0.1,102.0,7,7,1286,1846,3973.0,13,10,19,0,0,1,0
1496,1,1.3,1,0.0,0,42,0.9,124.0,2,5,264,995,3537.0,15,14,6,1,0,0,0
1532,1,2.0,0,0.0,0,7,0.2,134.0,2,10,75,834,3449.0,5,4,7,1,1,1,3
1004,0,1.1,1,7.0,1,8,0.8,97.0,2,9,461,919,3895.0,14,13,20,1,1,0,1
1483,1,1.2,1,10.0,1,38,0.1,87.0,5,14,321,1410,2777.0,17,9,16,1,1,0,2
945,0,2.4,0,3.0,0,47,0.4,141.0,2,11,120,1341,2904.0,19,14,5,0,0,0,2
1081,0,3.0,0,7.0,1,17,0.1,89.0,5,17,174,1683,3774.0,17,15,16,1,1,0,0
1012,0,2.8,1,6.0,1,32,0.9,87.0,3,14,1341,1997,3034.0,17,5,10,1,1,0,0
1762,0,1.0,0,5.0,0,50,0.9,104.0,3,12,1337,1684,2940.0,19,18,15,0,0,1,2
796,1,2.3,1,1.0,1,36,0.3,127.0,8,14,494,935,3932.0,5,1,5,1,1,1,3
1547,0,2.5,0,12.0,1,50,1.0,98.0,5,16,849,1024,1168.0,17,2,17,1,1,1,1
988,0,1.6,0,6.0,1,12,0.8,132.0,4,8,644,1291,376.0,9,1,17,1,0,1,2
1180,1,3.0,0,7.0,1,43,0.8,102.0,1,16,1557,1985,3510.0,9,5,13,1,1,1,3
852,1,1.9,0,3.0,1,3,0.5,161.0,2,4,376,872,542.0,14,9,9,1,0,1,1
607,1,0.8,0,1.0,1,18,0.2,146.0,7,3,151,532,550.0,12,1,12,1,0,1,3
1765,0,0.5,0,0.0,0,24,0.4,135.0,1,0,450,830,791.0,5,1,4,1,0,1,1
1250,0,0.5,0,18.0,0,63,0.7,165.0,1,19,1336,1532,1895.0,13,6,7,0,1,0,2
1577,0,2.6,1,0.0,0,55,0.5,109.0,5,0,1411,1718,609.0,6,0,20,1,1,1,2
1153,1,0.5,1,5.0,0,14,0.2,135.0,5,6,742,1236,263.0,19,10,14,1,0,1,3
651,1,0.7,0,0.0,0,35,0.4,113.0,7,5,1046,1414,2141.0,13,4,19,1,1,1,2
1186,1,2.3,1,1.0,0,25,0.1,88.0,4,7,85,1012,1270.0,18,9,17,0,1,0,0
1429,1,2.5,0,6.0,0,33,0.1,121.0,5,7,889,1846,403.0,11,6,18,1,1,1,3
556,0,0.9,0,4.0,1,10,0.8,135.0,8,12,182,688,7300.0,13,12,2,1,0,0,2
1735,1,2.7,0,5.0,1,21,0.1,126.0,3,8,282,1261,2597.0,16,12,8,1,0,1,1
1859,0,0.7,0,8.0,1,42,0.1,127.0,2,16,1168,1612,714.0,19,7,16,1,0,1,0
915,0,1.3,0,3.0,0,10,0.1,188.0,2,5,74,1266,423.0,13,3,14,0,1,1,0
890,0,0.5,0,5.0,0,9,0.4,113.0,1,10,457,1134,1238.0,6,2,17,0,0,1,2
758,0,2.8,0,13.0,0,48,0.7,101.0,3,18,1842,1896,926.0,9,5,18,0,0,0,3
586,0,2.9,1,6.0,1,33,0.2,195.0,8,17,1470,1644,2817.0,5,2,5,1,1,1,0
762,1,0.6,1,11.0,1,39,0.7,139.0,1,14,1065,1686,2271.0,12,7,8,1,1,0,2
683,0,0.5,1,0.0,1,9,0.8,186.0,7,3,1466,1754,1513.0,6,5,19,1,0,0,3
1526,0,0.7,1,10.0,0,39,0.4,125.0,3,20,563,1439,339.0,10,9,19,1,0,1,1
1771,1,2.4,0,6.0,0,39,0.7,188.0,2,9,460,1203,794.0,9,1,16,1,1,1,3
639,0,1.3,0,5.0,0,28,0.9,113.0,7,16,983,1369,391.0,6,2,12,0,0,1,1
1783,1,0.9,0,7.0,1,23,0.9,137.0,2,8,1114,1953,541.0,9,5,11,1,1,0,2
1933,0,1.2,0,16.0,1,55,0.2,166.0,5,20,729,1248,648.0,10,7,13,1,1,0,3
1384,0,1.3,1,3.0,1,62,0.4,153.0,1,5,1240,1393,3386.0,19,1,2,1,1,0,3
1770,0,2.6,0,12.0,0,26,0.5,80.0,1,17,98,1724,1651.0,18,6,14,0,0,0,2
885,0,0.5,1,2.0,0,3,0.5,163.0,7,8,813,1666,2887.0,5,1,13,0,0,1,2
1629,1,2.3,0,2.0,1,2,0.8,86.0,6,19,1055,1200,2178.0,19,10,18,1,1,0,3
1072,1,0.5,1,6.0,1,4,0.5,92.0,1,12,1019,1640,2878.0,7,5,13,1,0,1,1
1863,1,2.5,1,0.0,0,64,0.7,89.0,5,1,159,618,3201.0,5,4,19,1,1,0,1
1739,0,2.3,1,1.0,0,51,0.4,140.0,4,15,406,691,1490.0,5,1,9,0,1,1,0
895,1,2.5,0,2.0,0,23,0.5,98.0,5,3,26,663,2724.0,16,14,7,0,0,0,1
1278,1,2.8,1,0.0,0,56,0.6,179.0,1,7,406,1698,3032.0,9,5,6,0,0,1,0
562,1,1.1,1,1.0,1,43,0.3,141.0,6,17,918,991,3352.0,13,12,17,1,1,0,2
1249,1,2.1,1,0.0,0,38,0.8,193.0,5,10,940,1290,3195.0,19,7,17,0,0,0,2
1811,0,1.2,0,18.0,1,25,0.8,185.0,6,19,1411,1443,1677.0,10,6,2,1,1,0,2
560,1,2.9,1,1.0,1,12,1.0,161.0,5,19,465,1797,2620.0,13,0,16,1,1,1,2
1773,1,0.5,0,14.0,1,61,0.1,141.0,7,20,847,1562,1061.0,17,4,15,1,0,1,1
1715,1,2.1,0,5.0,0,11,0.4,100.0,3,10,314,1276,1018.0,16,5,8,1,1,1,3
725,0,0.5,1,0.0,1,26,0.8,176.0,5,1,829,960,1370.0,7,6,9,1,1,1,3
800,1,2.2,0,5.0,1,41,0.1,103.0,6,9,185,1008,2094.0,17,16,6,1,0,1,2
1300,0,0.5,0,6.0,1,43,0.1,156.0,3,12,589,1815,2790.0,15,4,19,1,0,0,2
1001,0,0.8,0,0.0,0,48,1.0,98.0,5,0,471,655,1485.0,10,2,11,1,1,1,0
500,0,1.3,1,13.0,0,64,0.9,134.0,4,17,1384,1912,2807.0,19,7,7,0,0,1,2
1378,1,2.5,1,4.0,1,52,0.5,184.0,3,7,13,641,3528.0,5,1,7,1,0,0,0
951,1,2.4,0,1.0,1,24,0.1,147.0,8,20,897,1964,3391.0,19,4,7,1,0,0,3
1038,1,0.5,1,1.0,0,48,0.2,99.0,6,2,83,1103,1073.0,5,4,2,0,0,1,0
987,1,1.2,1,1.0,0,20,0.9,108.0,6,5,237,1427,2811.0,7,4,17,1,0,0,1
1698,0,0.5,0,6.0,1,21,0.1,196.0,7,7,614,1254,778.0,7,3,3,1,1,1,1
1762,1,0.9,1,14.0,0,11,0.1,107.0,4,17,647,801,3628.0,9,3,10,0,0,1,3
785,0,2.4,0,6.0,0,16,0.2,135.0,3,13,223,1366,2637.0,12,8,16,0,0,0,0
1851,0,2.4,1,2.0,0,59,0.1,151.0,3,18,278,1198,2892.0,10,0,5,1,1,0,0
1698,0,0.5,1,2.0,0,62,0.4,189.0,3,13,1459,1565,2805.0,11,2,19,0,0,1,3
1976,0,2.8,0,0.0,0,4,0.8,93.0,8,1,1146,1436,804.0,5,1,14,0,1,0,2
1649,1,0.5,0,4.0,1,53,0.4,162.0,4,11,261,1316,361.0,12,7,19,1,1,1,3
1157,1,2.6,1,4.0,0,4,0.9,149.0,7,6,878,1737,1453.0,17,10,9,1,0,0,3
1702,0,0.5,0,1.0,1,54,0.4,131.0,5,2,1112,1578,359.0,13,12,5,1,1,0,3
1040,1,0.6,0,0.0,0,54,0.3,199.0,2,5,458,959,3886.0,15,5,20,0,1,1,2
790,1,2.1,1,2.0,1,29,0.7,106.0,6,11,521,1996,557.0,11,2,2,1,1,1,2
1429,0,2.9,0,2.0,0,58,0.2,128.0,4,3,417,983,2005.0,15,1,9,0,1,0,3
739,1,3.0,0,14.0,0,56,0.7,103.0,8,20,134,1696,630.0,17,2,11,1,0,0,3
1364,1,1.6,1,6.0,1,44,0.1,174.0,7,8,615,1142,2741.0,9,3,18,1,0,1,3
1580,0,2.8,1,0.0,0,45,1.0,196.0,8,7,1017,1092,2214.0,12,9,19,0,0,1,0
1384,1,2.2,1,0.0,0,49,0.7,189.0,1,0,725,1741,1387.0,13,3,13,1,1,1,1
1037,0,2.9,1,2.0,0,57,0.7,83.0,6,5,749,965,3148.0,16,13,9,1,0,0,2
1519,0,1.5,0,12.0,0,43,0.1,183.0,1,14,868,1637,853.0,5,0,7,0,1,1,0
989,0,0.5,0,15.0,0,20,0.4,153.0,1,16,68,947,3614.0,17,5,10,1,1,0,1
1040,1,0.5,1,3.0,0,41,0.8,116.0,3,18,299,608,1006.0,12,7,18,0,0,1,3
1240,1,1.4,0,3.0,1,9,0.9,93.0,5,7,477,1319,3959.0,14,9,15,1,0,0,1
1273,1,2.0,0,15.0,1,7,0.9,143.0,1,16,288,706,1743.0,12,7,13,1,1,0,0
1784,0,0.5,0,8.0,0,28,0.3,171.0,4,9,1145,1680,2192.0,15,13,2,1,0,0,2
1169,1,1.4,1,7.0,1,51,0.1,177.0,7,19,515,720,329.0,14,6,13,1,0,1,2
703,1,2.4,0,1.0,1,27,0.1,138.0,1,6,47,1820,502.0,12,4,11,1,1,1,3
959,1,1.0,0,5.0,1,15,0.4,119.0,5,9,121,934,3000.0,15,0,15,1,1,1,2
1292,1,3.0,1,1.0,1,63,0.3,157.0,6,8,452,1309,1413.0,13,2,10,1,1,1,3
1927,1,2.1,0,0.0,0,5,0.9,139.0,6,1,603,1228,2913.0,15,10,8,0,0,0,3
1477,1,1.7,0,1.0,0,15,0.4,178.0,8,5,1381,1459,2684.0,18,13,8,1,1,1,0
1759,0,0.5,1,9.0,0,58,0.2,101.0,2,12,510,615,3428.0,17,0,9,1,1,0,1
831,0,2.2,0,0.0,1,31,0.3,197.0,3,1,1460,1591,1629.0,8,1,5,1,1,0,1
1803,0,1.1,1,1.0,1,41,0.2,146.0,2,10,102,613,1873.0,14,1,20,1,1,1,0
1361,0,0.6,0,0.0,1,64,1.0,91.0,3,2,174,574,3751.0,18,6,19,1,1,0,2
1183,1,1.4,0,1.0,0,32,0.8,197.0,1,4,884,1475,637.0,12,6,16,0,0,1,2
917,1,1.3,0,0.0,0,53,0.2,166.0,5,1,750,1339,603.0,12,6,7,1,0,1,1
1278,1,0.5,1,2.0,0,7,1.0,192.0,5,3,319,587,3067.0,10,2,4,1,1,1,0
1247,1,0.5,0,0.0,0,28,0.4,191.0,7,5,901,1447,3268.0,16,3,15,0,1,0,0
930,0,1.0,1,5.0,1,40,0.8,128.0,7,15,775,1224,3816.0,13,0,2,1,1,1,2
1019,0,1.7,1,0.0,1,5,0.7,177.0,3,8,889,1840,1850.0,10,5,11,1,0,1,0
1855,1,0.8,0,0.0,1,26,0.8,161.0,4,0,986,1339,3481.0,8,7,19,1,1,1,1
1730,0,0.5,1,4.0,0,54,0.7,93.0,3,7,283,1151,1695.0,19,5,17,0,1,0,0
1972,0,2.2,1,4.0,1,5,0.9,95.0,3,19,955,1781,625.0,10,1,10,1,1,1,3
1887,0,2.3,1,4.0,0,35,0.9,115.0,2,7,178,1275,3203.0,7,5,15,1,0,0,1
1590,0,1.9,0,0.0,0,13,0.4,111.0,6,1,759,1187,2440.0,19,0,3,1,0,1,1
603,1,2.7,0,0.0,1,42,0.2,135.0,8,0,746,754,1934.0,14,10,11,1,0,0,0
560,1,2.1,0,11.0,1,37,0.6,121.0,4,14,237,551,3278.0,15,9,7,1,1,0,0
1981,1,1.6,1,10.0,0,34,0.1,117.0,5,20,929,1552,3764.0,11,4,14,1,0,1,3
